	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.0153125	15	3	1	2	1	7	0	48	0	1	-7.82653 	0	2.73049e-09
UL	0.0153208	15	3	3	2	1	19	0	48	0	1	-11.5974 	1	0.995942
DL	0.0154083	15	4	1	1	1	7	0	22	0	2	-10.4152	 	0	0.00025862
DL	0.0154125	15	4	2	1	1	19	0	22	0	2	-11.6926	 	1	0.417151
UL	0.0156125	15	6	1	2	1	19	0	48	0	2	-11.5928 	0	0.160524
DL	0.0159083	15	9	1	1	1	19	0	22	0	3	-11.6848	 	0	0
DL	0.0231125	23	1	1	2	1	2	0	48	0	0	1.9565	 	0	0
DL	0.0231208	23	1	3	2	1	3	0	48	0	0	0.834776	 	0	0
DL	0.0231291	23	1	5	2	1	4	0	48	0	0	3.86179	 	0	0
DL	0.0231374	23	1	7	2	1	5	0	48	0	0	34.5708	 	0	0
DL	0.0231458	23	1	9	2	1	6	0	48	0	0	1.02446	 	0	0
DL	0.0231499	23	1	11	1	1	8	0	22	0	0	3.24255	 	0	0
DL	0.0231541	23	1	12	1	1	9	0	32	2	0	-4.14878	 	0	0.00163995
DL	0.0231582	23	1	13	1	1	10	0	22	0	0	-1.17262	 	0	0
DL	0.0231624	23	1	14	1	1	11	0	22	0	0	3.53858	 	0	0
DL	0.0231666	23	1	15	1	1	12	0	22	0	0	32.8089	 	0	0
DL	0.0231707	23	1	16	1	1	13	0	22	0	0	12.8232	 	0	0
DL	0.0231749	23	1	17	1	1	14	0	22	0	0	3.34369	 	0	0
DL	0.023179	23	1	18	1	1	15	0	22	0	0	2.87261	 	0	0
DL	0.0231832	23	1	19	1	1	16	0	22	0	0	0.203227	 	0	0
DL	0.0231874	23	1	20	1	1	17	0	22	0	0	17.8027	 	0	0
DL	0.0231915	23	1	21	1	1	18	0	22	0	0	0.194712	 	0	0
DL	0.0231957	23	1	22	1	1	20	0	22	0	0	18.5053	 	0	0
DL	0.0232125	23	2	1	2	1	8	0	48	0	0	3.24363	 	0	0
DL	0.0232166	23	2	3	1	1	9	0	32	2	0	-4.18836	 	0	0.00212749
DL	0.023225	23	2	4	2	1	10	0	48	0	0	-1.17335	 	0	0
DL	0.0232333	23	2	6	2	1	11	0	48	0	0	3.53794	 	0	0
DL	0.0232416	23	2	8	2	1	12	0	48	0	0	32.8087	 	0	0
DL	0.0232499	23	2	10	2	1	13	0	48	0	0	12.8267	 	0	0
DL	0.0232582	23	2	12	2	1	14	0	48	0	0	3.34112	 	0	0
DL	0.0232666	23	2	14	2	1	15	0	48	0	0	2.8742	 	0	0
DL	0.0232749	23	2	16	2	1	16	0	48	0	0	0.223598	 	0	0
DL	0.0232832	23	2	18	2	1	17	0	48	0	0	17.7977	 	0	0
DL	0.0232915	23	2	20	2	1	18	0	48	0	0	0.20383	 	0	0
DL	0.0232957	23	2	22	1	1	20	0	22	0	0	18.5173	 	0	0
DL	0.0233125	23	3	1	2	1	20	0	48	0	0	18.5185	 	0	0
UL	0.0237125	23	7	1	2	1	20	0	48	0	0	18.5565 	0	0
UL	0.0237208	23	7	3	2	1	2	0	48	0	0	1.81401 	0	0
UL	0.0237291	23	7	5	2	1	3	0	48	0	0	0.736235 	0	0
UL	0.0237374	23	7	7	2	1	4	0	48	0	0	-0.154339 	0	0
UL	0.0237458	23	7	9	2	1	5	0	48	0	0	34.5482 	0	0
UL	0.0237499	23	7	11	1	1	6	0	22	0	0	3.32605 	0	0
UL	0.0237541	23	7	12	1	1	8	0	22	0	0	3.23876 	0	0
UL	0.0237582	23	7	13	1	1	9	0	22	0	0	-3.17241 	0	4.71623e-13
UL	0.0237624	23	7	14	1	1	10	0	22	0	0	-1.07494 	0	0
UL	0.0237666	23	7	15	1	1	11	0	22	0	0	3.54193 	0	0
UL	0.0237707	23	7	16	1	1	12	0	22	0	0	32.8069 	0	0
UL	0.0237749	23	7	17	1	1	13	0	22	0	0	12.724 	0	0
UL	0.023779	23	7	18	1	1	14	0	22	0	0	3.39648 	0	0
UL	0.0237832	23	7	19	1	1	15	0	22	0	0	2.92821 	0	0
UL	0.0237874	23	7	20	1	1	16	0	22	0	0	1.64021 	0	0
UL	0.0237915	23	7	21	1	1	17	0	22	0	0	18.267 	0	0
UL	0.0237957	23	7	22	1	1	18	0	22	0	0	0.856841 	0	0
UL	0.0238125	23	8	1	2	1	8	0	48	0	0	3.23829 	0	0
UL	0.0238208	23	8	3	2	1	9	0	48	0	0	-3.21573 	0	0
UL	0.0238291	23	8	5	2	1	10	0	48	0	0	-1.07521 	0	0
UL	0.0238374	23	8	7	2	1	11	0	48	0	0	3.54134 	0	0
UL	0.0238458	23	8	9	2	1	12	0	48	0	0	32.807 	0	0
UL	0.0238541	23	8	11	2	1	13	0	48	0	0	12.7277 	0	0
UL	0.0238624	23	8	13	2	1	14	0	48	0	0	3.39652 	0	0
UL	0.0238707	23	8	15	2	1	15	0	48	0	0	2.92701 	0	0
UL	0.023879	23	8	17	2	1	16	0	48	0	0	1.54561 	0	0
UL	0.0238874	23	8	19	2	1	17	0	48	0	0	18.2624 	0	0
UL	0.0238915	23	8	21	1	1	18	0	22	0	0	0.852223 	0	0
UL	0.0238957	23	8	22	1	1	20	0	22	0	0	18.5981 	0	0
DL	0.0242083	24	2	1	1	1	18	0	94	6	0	0.336309	 	0	0.0196686
DL	0.0242125	24	2	2	1	1	20	0	726	24	0	18.3779	 	0	0.0748138
DL	0.0242166	24	2	3	1	1	2	0	94	6	0	1.82596	 	0	5.77316e-15
DL	0.0242208	24	2	4	1	1	3	0	94	6	0	0.919891	 	0	5.19894e-10
DL	0.024225	24	2	5	1	1	4	0	139	8	0	3.86811	 	0	2.92488e-13
DL	0.0242291	24	2	6	1	1	5	0	885	28	0	34.5484	 	0	1.14131e-13
DL	0.0242333	24	2	7	1	1	6	0	94	6	0	1.03128	 	0	8.88178e-16
DL	0.0242374	24	2	8	1	1	8	0	139	8	0	3.26902	 	0	1.39634e-06
DL	0.0242458	24	2	9	2	1	9	0	68	2	0	-4.60652	 	0	0.00520012
DL	0.0242541	24	2	11	2	1	10	0	120	4	0	-1.18263	 	0	4.56618e-09
DL	0.0242582	24	2	13	1	1	11	0	139	8	0	3.52995	 	0	0
DL	0.0242624	24	2	14	1	1	12	0	885	28	0	32.8068	 	0	1.14131e-13
DL	0.0242666	24	2	15	1	1	13	0	434	18	0	12.8691	 	0	1.52783e-12
DL	0.0242707	24	2	16	1	1	14	0	139	8	0	3.30682	 	0	1.33193e-12
DL	0.0242749	24	2	17	1	1	15	0	139	8	0	2.89416	 	0	3.77483e-07
DL	0.0242832	24	2	18	2	1	16	0	120	4	0	1.37658	 	0	0
DL	0.0242874	24	2	20	1	1	17	0	628	22	0	17.7245	 	0	3.02653e-05
UL	0.0248083	24	8	1	1	1	17	0	726	24	0	18.2238 	0	3.34999e-07
UL	0.0248125	24	8	2	1	1	18	0	74	5	0	0.784062 	0	7.85893e-07
UL	0.0248166	24	8	3	1	1	20	0	726	24	0	18.4142 	0	0.0245596
UL	0.0248208	24	8	4	1	1	2	0	116	7	0	1.92339 	0	4.63788e-05
UL	0.024825	24	8	5	1	1	3	0	94	6	0	0.922254 	0	7.67802e-10
UL	0.0248291	24	8	6	1	1	4	0	74	5	0	0.0920512 	0	0.00105216
UL	0.0248333	24	8	7	1	1	5	0	885	28	0	34.5313 	0	1.14131e-13
UL	0.0248374	24	8	8	1	1	6	0	139	8	0	3.22787 	0	8.97862e-08
UL	0.0248416	24	8	9	1	1	8	0	139	8	0	3.24661 	0	7.27739e-06
UL	0.0248458	24	8	10	1	1	9	0	32	2	0	-4.05822 	0	0.00659885
UL	0.0248499	24	8	11	1	1	10	0	74	5	0	-1.08277 	0	0.0070494
UL	0.0248541	24	8	12	1	1	11	0	162	9	0	3.53291 	0	1.83242e-13
UL	0.0248582	24	8	13	1	1	12	0	885	28	0	32.8086 	0	1.14131e-13
UL	0.0248624	24	8	14	1	1	13	0	414	17	0	12.7713 	0	4.90519e-06
UL	0.0248666	24	8	15	1	1	14	0	162	9	0	3.38969 	0	1.30361e-05
UL	0.0248707	24	8	16	1	1	15	0	139	8	0	2.90852 	0	9.73297e-08
UL	0.0248749	24	8	17	1	1	16	0	94	6	0	0.667631 	0	0.00337603
DL	0.0257166	25	7	1	3	1	7	0	74	0	0	-8.04638	 	1	0.99731
DL	0.0262166	26	2	1	3	1	7	0	74	0	1	-8.05357	 	0	2.55351e-15
DL	0.0262291	26	2	4	3	1	19	0	74	0	0	-11.7748	 	1	1
DL	0.0267166	26	7	1	3	1	19	0	74	0	1	-11.7761	 	1	0.999936
UL	0.0268083	26	8	1	1	1	2	0	116	7	0	1.91329 	0	9.91736e-05
UL	0.0268125	26	8	2	1	1	3	0	116	7	0	1.11366 	0	0.00900898
UL	0.0268166	26	8	3	1	1	4	0	74	5	0	0.547354 	0	1.10179e-05
