	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.561742	561	7	1	9	1	1	0	16030	28	0	71.2581	 	0	0
UL	0.562308	562	3	1	1	1	1	0	1776	28	0	71.2581 	0	0
DL	0.562808	562	8	1	1	1	1	0	1776	28	0	71.2581	 	0	0
UL	0.563408	563	4	1	1	1	1	0	1776	28	0	71.2581 	0	0
UL	0.565408	565	4	1	1	1	1	0	1776	28	0	71.2581 	0	0
DL	0.565908	565	9	1	1	1	1	0	1776	28	0	71.2581	 	0	0
DL	0.567942	567	9	1	9	1	1	0	16030	28	0	71.2581	 	0	0
UL	0.568508	568	5	1	1	1	1	0	1776	28	0	71.2581 	0	0
DL	0.569008	569	0	1	1	1	1	0	1776	28	0	71.2581	 	0	0
UL	0.569608	569	6	1	1	1	1	0	1776	28	0	71.2581 	0	0
UL	0.571608	571	6	1	1	1	1	0	1776	28	0	71.2581 	0	0
DL	0.572108	572	1	1	1	1	1	0	1776	28	0	71.2581	 	0	0
DL	0.574142	574	1	1	9	1	1	0	16030	28	0	71.2581	 	0	0
UL	0.574708	574	7	1	1	1	1	0	1776	28	0	71.2581 	0	0
DL	0.575208	575	2	1	1	1	1	0	1776	28	0	71.2581	 	0	0
UL	0.575808	575	8	1	1	1	1	0	1776	28	0	71.2581 	0	0
UL	0.577808	577	8	1	1	1	1	0	1776	28	0	71.2581 	0	0
DL	0.578308	578	3	1	1	1	1	0	1776	28	0	71.2581	 	0	0
DL	0.580342	580	3	1	9	1	1	0	16030	28	0	71.2581	 	0	0
UL	0.580908	580	9	1	1	1	1	0	1776	28	0	71.2581 	0	0
DL	0.581408	581	4	1	1	1	1	0	1776	28	0	71.2581	 	0	0
UL	0.582008	582	0	1	1	1	1	0	1776	28	0	71.2581 	0	0
UL	0.584008	584	0	1	1	1	1	0	1776	28	0	71.2581 	0	0
DL	0.584508	584	5	1	1	1	1	0	1776	28	0	71.2581	 	0	0
DL	0.586542	586	5	1	9	1	1	0	16030	28	0	71.2581	 	0	0
UL	0.587108	587	1	1	1	1	1	0	1776	28	0	71.2581 	0	0
DL	0.587608	587	6	1	1	1	1	0	1776	28	0	71.2581	 	0	0
UL	0.588208	588	2	1	1	1	1	0	1776	28	0	71.2581 	0	0
UL	0.590208	590	2	1	1	1	1	0	1776	28	0	71.2581 	0	0
DL	0.590708	590	7	1	1	1	1	0	1776	28	0	71.2581	 	0	0
DL	0.592742	592	7	1	9	1	1	0	16030	28	0	71.2581	 	0	0
UL	0.593308	593	3	1	1	1	1	0	1776	28	0	71.2581 	0	0
DL	0.593808	593	8	1	1	1	1	0	1776	28	0	71.2581	 	0	0
UL	0.594408	594	4	1	1	1	1	0	1776	28	0	71.2581 	0	0
UL	0.596408	596	4	1	1	1	1	0	1776	28	0	71.2581 	0	0
DL	0.596908	596	9	1	1	1	1	0	1776	28	0	71.2581	 	0	0
DL	0.598942	598	9	1	9	1	1	0	16030	28	0	71.2581	 	0	0
UL	0.599508	599	5	1	1	1	1	0	1776	28	0	71.2581 	0	0
DL	0.600008	600	0	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.600608	600	6	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.602608	602	6	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.603108	603	1	1	1	1	1	0	1776	28	0	69.278	 	0	0
DL	0.605142	605	1	1	9	1	1	0	16030	28	0	69.278	 	0	0
UL	0.605708	605	7	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.606208	606	2	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.606808	606	8	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.608808	608	8	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.609308	609	3	1	1	1	1	0	1776	28	0	69.278	 	0	0
DL	0.611342	611	3	1	9	1	1	0	16030	28	0	69.278	 	0	0
UL	0.611908	611	9	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.612408	612	4	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.613008	613	0	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.615008	615	0	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.615508	615	5	1	1	1	1	0	1776	28	0	69.278	 	0	0
DL	0.617542	617	5	1	9	1	1	0	16030	28	0	69.278	 	0	0
UL	0.618108	618	1	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.618608	618	6	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.619208	619	2	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.621208	621	2	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.621708	621	7	1	1	1	1	0	1776	28	0	69.278	 	0	0
DL	0.623742	623	7	1	9	1	1	0	16030	28	0	69.278	 	0	0
UL	0.624308	624	3	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.624808	624	8	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.625408	625	4	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.627408	627	4	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.627908	627	9	1	1	1	1	0	1776	28	0	69.278	 	0	0
